SAM,AREA_Dry,AREA_logdiff,AREA_Wet,Oilpct_Dry,Oilpct_logdiff,Oilpct_Wet,StemDiametermm_Wet,StemHeightmm_Wet,RootingDepthmm_Wet,RootBiomassmg_Wet,TRLmm_Wet,SRLmmg_Wet,RootBiomassAllocation_Wet,TRLAllocation_Wet,StemDiametermm_Dry,StemHeightmm_Dry,RootingDepthmm_Dry,RootBiomassmg_Dry,TRLmm_Dry,SRLmmg_Dry,RootBiomassAllocation_Dry,TRLAllocation_Dry,StemDiametermm_logdiff,StemHeightmm_logdiff,RootingDepthmm_logdiff,RootBiomassmg_logdiff,TRLmm_logdiff,SRLmmg_logdiff,RootBiomassAllocation_logdiff,TRLAllocation_logdiff
SAM241,NA,NA,6970.22,38.76006765,0.102380815,34.98815994,2.648,34.938,111.873,11.65,1922.842,12.293,0.727,0.36,2.49,25.307,125.245,11,2280.721,12.883,0.442,0.155,0.061521928,0.322494025,-0.11290752,0.057410907,-0.170687321,-0.046878618,0.497616595,0.842678915
SAM242,5990.045,-0.286958527,7980.95,33.48988936,-0.014912718,33.9930571,1.959,28.479,64.416,2.733,574.397,13.262,0.887,0.689,1.915,30.568,84.404,3.85,1148.461,13.913,0.835,0.544,0.022716516,-0.070786737,-0.270252744,-0.342673241,-0.692857269,-0.047920852,0.060413257,0.236292024
SAM243,5204.53,-0.69226054,10399.835,31.03847283,0.03031605,30.11162904,2.316,27.151,132.983,11,2291.556,13.118,0.531,0.284,2.253,16.486,153.061,8.733,2673.854,13.183,0.421,0.154,0.027578898,0.498902342,-0.140615234,0.230786319,-0.154289815,-0.004942788,0.232129188,0.612021636
SAM244,NA,NA,14085.8,39.10209948,-0.04511456,40.9065714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM246,12447.2,-0.158583606,14586.25,35.46526544,0.012450053,35.02645827,2.372,40.949,102.873,10.1,1836.232,13.032,0.575,0.389,2.041,25.918,122.353,7.05,1833.579,13.36,0.607,0.243,0.150293597,0.457389682,-0.173415092,0.359507807,0.001445851,-0.024857297,-0.05415875,0.4705179
SAM247,6763.75,-0.628976731,12686.7,35.47807372,0.051893727,33.68393902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM248,7120.975,-0.933543851,18112.25,19.59934251,-0.221924692,24.46933529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM249,NA,NA,NA,30.93025154,0.087943797,28.32630626,2.623,47.514,144.194,19.9,2137.266,12.733,0.554,0.277,2.297,27.302,125.094,7.333,1727.242,14.031,0.822,0.319,0.132714777,0.554064445,0.14209416,0.998335023,0.213001525,-0.097072119,-0.394575708,-0.141173597
SAM250,5189.51,-0.083312159,5640.38,36.79214651,-0.018126917,37.46515606,2.457,40.069,83.873,5.2,784.059,13.276,0.79,0.415,2.189,27.096,130.583,8.05,1180.9,12.588,0.557,0.227,0.115496275,0.391216852,-0.44270529,-0.437013466,-0.409547866,0.053213915,0.349467706,0.603328503
SAM251,4934.675,-0.36699935,7122.695,28.23593895,0.037166733,27.20576406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM252,6501.105,NA,NA,36.89390431,-0.021405365,37.69214463,2.229,50.769,110.676,8.633,1748.246,13.213,0.682,0.432,2.176,33.818,130.853,6.5,1703.541,13.166,0.531,0.325,0.024064725,0.406292727,-0.167467542,0.283789892,0.025903974,0.003563444,0.250267637,0.284600406
